,28079008,28079011,28079018,28079024,28079038,28079055
2016-12-09 22:00:00,5.6,6.7,,1.4,4.4,5.9
2016-12-09 23:00:00,5.0,6.1,,1.8,4.7,6.8
2016-12-10 00:00:00,4.3,6.4,,2.4,7.5,6.4
2016-12-10 01:00:00,3.8,5.9,1.0,2.8,6.5,7.4
2016-12-10 02:00:00,14.0,5.6,1.0,2.8,3.9,7.0
2016-12-10 03:00:00,6.1,4.9,1.0,2.9,2.6,7.0
2016-12-10 04:00:00,4.0,4.6,1.0,2.7,1.0,6.8
2016-12-10 05:00:00,2.4,4.1,1.0,2.7,0.1,4.5
2016-12-10 06:00:00,1.9,3.4,1.0,2.0,0.1,3.0
2016-12-10 07:00:00,2.0,3.7,1.0,1.7,0.1,2.3
2016-12-10 08:00:00,2.3,4.2,1.0,2.2,0.1,2.9
2016-12-10 09:00:00,2.3,4.2,0.89,1.9,0.1,3.3
2016-12-10 10:00:00,3.2,5.5,2.9,1.7,0.1,3.0
2016-12-10 11:00:00,3.7,5.7,12.96,2.1,0.1,3.1
2016-12-10 12:00:00,2.1,4.0,14.03,1.9,5.3,2.4
2016-12-10 13:00:00,2.9,4.6,16.32,1.8,5.3,1.7
2016-12-10 14:00:00,1.6,5.0,17.51,2.2,2.4,1.6
2016-12-10 15:00:00,1.4,4.6,20.09,1.4,3.4,1.2
2016-12-10 16:00:00,1.0,4.5,26.12,0.8,3.0,1.2
2016-12-10 17:00:00,0.8,4.5,17.38,0.6,2.0,1.4
2016-12-10 18:00:00,1.0,4.1,3.87,0.4,2.2,2.1
2016-12-10 19:00:00,1.9,4.5,1.0,0.8,2.5,2.6
2016-12-10 20:00:00,2.7,6.1,1.0,1.1,4.4,3.7
2016-12-10 21:00:00,5.1,6.8,1.0,1.2,9.3,5.1
2016-12-10 22:00:00,5.6,6.6,0.81,1.2,11.5,4.6
2016-12-10 23:00:00,6.9,8.1,1.0,1.1,16.1,10.4
2016-12-11 00:00:00,5.6,15.1,0.93,1.2,18.9,9.5
2016-12-11 01:00:00,10.2,12.1,1.0,1.6,27.5,4.0
2016-12-11 02:00:00,8.6,8.8,1.0,2.0,20.5,2.6
2016-12-11 03:00:00,4.8,6.0,1.0,1.9,12.1,1.5
2016-12-11 04:00:00,2.3,4.4,1.0,2.0,4.2,1.4
2016-12-11 05:00:00,2.2,3.7,1.0,2.0,3.8,1.3
2016-12-11 06:00:00,1.8,3.8,1.0,2.0,4.0,1.1
2016-12-11 07:00:00,1.5,2.9,1.0,1.5,4.2,0.9
2016-12-11 08:00:00,1.4,2.4,1.0,1.0,2.6,1.2
2016-12-11 09:00:00,1.3,2.5,0.89,0.8,4.0,1.6
2016-12-11 10:00:00,1.5,2.3,2.9,0.9,5.9,1.4
2016-12-11 11:00:00,1.5,2.3,12.96,0.9,5.3,0.9
2016-12-11 12:00:00,1.3,2.8,14.03,0.9,4.1,1.2
